着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
1,4,8,レガレイラ,牝3,54,戸崎圭太,2:31.8,,**,6-5-5-3,34.9,10.9,5,468(-4),,,,"[東]
木村哲也",サンデーレーシング,"50,340.2"
2,8,16,シャフリヤール,牡6,58,Ｃ．デム,2:31.8,ハナ,**,10-9-5-5,35.0,30.1,10,458(0),,,,"[西]
藤原英昭",サンデーレーシング,"20,097.2"
3,1,1,ダノンデサイル,牡3,56,横山典弘,2:32.0,1.1/2,**,1-1-1-1,35.4,4.0,2,520(-2),,,,"[西]
安田翔伍",ダノックス,"13,048.6"
4,3,5,ベラジオオペラ,牡4,58,横山和生,2:32.1,1/2,**,2-2-2-2,35.5,7.1,3,512(-2),,,,"[西]
上村洋行",林田祥来,"7,500.0"
5,6,11,ジャスティンパレス,牡5,58,坂井瑠星,2:32.3,3/4,**,9-9-11-10,35.1,10.9,4,468(0),,,,"[西]
杉山晴紀",三木正浩,"5,000.0"
6,2,3,アーバンシック,牡3,56,ルメール,2:32.3,アタマ,**,7-8-11-8,35.1,2.8,1,516(+6),,,,"[東]
武井亮",シルクレーシング,
7,3,6,ローシャムパーク,牡5,58,マーカン,2:32.3,ハナ,**,12-11-9-8,35.2,17.2,7,506(0),,,,"[東]
田中博康",サンデーレーシング,
8,7,13,スタニングローズ,牝5,56,ムーア,2:32.4,1,**,7-5-5-5,35.5,27.1,9,496(-2),,,,"[西]
高野友和",サンデーレーシング,
9,7,14,ダノンベルーガ,牡5,58,松山弘平,2:32.5,クビ,**,15-15-15-13,34.9,122.4,15,496(+4),,,,"[東]
堀宣行",ダノックス,
10,6,12,シュトルーヴェ,セ5,58,鮫島克駿,2:32.6,1/2,**,12-11-9-10,35.5,108.1,14,478(0),,,,"[東]
堀宣行",村木克子,
11,5,10,プログノーシス,牡6,58,三浦皇成,2:32.6,アタマ,**,14-14-13-10,35.3,16.4,6,474(0),,,,"[西]
中内田充",社台レースホース,
12,2,4,ブローザホーン,牡5,58,菅原明良,2:33.1,3.1/2,**,10-11-13-13,35.7,35.1,11,432(+2),,,,"[西]
吉岡辰弥",岡田牧雄,
13,5,9,ディープボンド,牡7,58,幸英明,2:33.3,1,**,3-2-2-3,36.7,49.7,12,502(-14),,,,"[西]
大久保龍",前田晋二,
14,4,7,スターズオンアース,牝5,56,川田将雅,2:33.6,2,**,3-5-5-13,36.7,17.6,8,498(-2),,,,"[東]
高柳瑞樹",社台レースホース,
15,8,15,ハヤヤッコ,牡8,58,吉田豊,2:33.7,アタマ,**,3-4-2-5,37.1,57.1,13,492(+12),,,,"[東]
国枝栄",金子真人ホールディングス,
取,1,2,ドウデュース,牡5,58,武豊,,,,,,---,,計不,,,,"[西]
友道康夫",キーファーズ,
